PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,rang_sozial,belastung_rang
Odenwaldstraße,Tempelhof-Schöneberg,54.8,44.5,18.1,117.4
Barstraße,Charlottenburg-Wilmersdorf,27.1,34.1,55.9,117.1
Kissingenviertel,Pankow,46.9,39.5,30.6,117.0
Wartheplatz,Neukölln,7.9,12.9,96.1,116.9
Tirschenreuther Ring West,Tempelhof-Schöneberg,19.7,22.5,74.2,116.4
Gropiusstadt Mitte,Neukölln,9.8,12.4,92.6,114.8
Bühringstraße,Pankow,40.4,22.0,52.4,114.8
Karower Chaussee,Pankow,20.3,18.8,75.1,114.2
Rathaus Lichtenberg,Lichtenberg,36.5,36.5,41.1,114.1
Ceciliengärten,Tempelhof-Schöneberg,43.0,45.2,25.5,113.7
Rudolf-Seiffert-Park,Lichtenberg,31.0,33.6,48.5,113.1
Zingster Straße Ost,Lichtenberg,14.6,19.7,78.6,112.9
Goerzwerke,Steglitz-Zehlendorf,32.5,64.0,16.2,112.7
Preußenpark,Charlottenburg-Wilmersdorf,41.7,38.2,32.1,112.0
Gropiusstadt Süd-West,Neukölln,18.6,17.2,76.0,111.8
Herzbergstraße,Lichtenberg,44.3,25.8,41.3,111.4
Tegel Süd,Reinickendorf,13.7,13.1,84.5,111.3
Humboldthain Süd,Mitte,19.2,14.9,76.8,110.9
Elberfelder Straße,Mitte,24.2,48.5,38.2,110.9
Humboldtstraße,Reinickendorf,25.8,22.7,62.4,110.9
Tiefwerder,Spandau,7.7,13.7,88.9,110.3
Hasenheide,Neukölln,3.3,6.8,100.0,110.1
Kollwitzplatz,Pankow,57.0,36.0,16.8,109.8
Kameruner Straße,Mitte,12.0,15.9,81.7,109.6
Zehlendorf Süd,Steglitz-Zehlendorf,21.8,31.2,55.2,108.2
Böhlener Straße,Marzahn-Hellersdorf,7.6,14.0,86.2,107.8
Schaperstraße,Charlottenburg-Wilmersdorf,38.9,28.2,40.2,107.3
Thermometersiedlung,Steglitz-Zehlendorf,17.2,21.8,67.5,106.5
Franziusweg,Tempelhof-Schöneberg,73.2,16.6,16.4,106.2
Schillerpark,Mitte,13.5,11.3,81.4,106.2
Binger Straße,Charlottenburg-Wilmersdorf,39.5,31.4,34.7,105.6
Barbarossaplatz,Tempelhof-Schöneberg,29.3,24.5,51.5,105.3
Volkradstraße,Lichtenberg,27.5,14.6,62.0,104.1
Biesdorf Süd,Marzahn-Hellersdorf,65.1,37.5,1.1,103.7
Kladower Damm,Spandau,19.9,80.6,3.1,103.6
Wittenau Mitte,Reinickendorf,33.6,10.9,58.9,103.4
Karlshorst Süd,Lichtenberg,58.3,39.3,5.2,102.8
Schäfersee,Reinickendorf,14.0,18.1,68.5,100.6
Jungfernheide/Plötzensee,Charlottenburg-Wilmersdorf,10.9,9.8,79.7,100.4
Flinsberger Platz,Charlottenburg-Wilmersdorf,41.3,26.4,32.5,100.2
Bismarckstraße,Steglitz-Zehlendorf,27.3,36.2,36.2,99.7
Wolfshagener Straße,Pankow,32.7,38.7,26.8,98.2
Afrikanische Straße,Mitte,8.1,8.3,81.5,97.9
Weberwiese,Friedrichshain-Kreuzberg,41.1,26.8,29.3,97.2
Augustaplatz,Steglitz-Zehlendorf,52.8,23.8,19.9,96.5
Fürstenplatz,Charlottenburg-Wilmersdorf,44.6,29.3,22.1,96.0
Landsberger Tor,Marzahn-Hellersdorf,21.0,32.8,42.1,95.9
Güterbahnhof Köpenick,Treptow-Köpenick,30.4,37.6,27.9,95.9
Berlepschstraße,Steglitz-Zehlendorf,51.3,28.0,15.5,94.8
Friedenstraße,Friedrichshain-Kreuzberg,23.4,23.4,47.8,94.6
Ahrensfelder Berge,Marzahn-Hellersdorf,6.1,14.8,72.7,93.6
Friedrichshagener Straße,Treptow-Köpenick,18.3,46.5,28.0,92.8
Südende,Steglitz-Zehlendorf,31.7,25.3,35.8,92.8
Lietzensee,Charlottenburg-Wilmersdorf,16.6,31.7,43.7,92.0
Fennpfuhlpark,Lichtenberg,11.1,31.9,48.7,91.7
Klinikum Buch,Pankow,10.1,8.1,73.1,91.3
Landweg,Steglitz-Zehlendorf,10.0,13.5,67.3,90.8
Mittelstraße,Steglitz-Zehlendorf,31.4,19.4,39.7,90.5
Branitzer Platz,Charlottenburg-Wilmersdorf,27.9,34.3,27.7,89.9
Parchimer Allee Süd,Neukölln,15.7,9.6,64.6,89.9
Kaulsdorf Süd,Marzahn-Hellersdorf,49.6,35.8,4.4,89.8
Britzer Garten,Neukölln,17.3,21.2,50.2,88.7
Griesingerstraße,Spandau,4.8,4.4,78.4,87.6
Dolgenseestraße,Lichtenberg,14.2,11.8,61.6,87.6
Horstwalder Straße,Tempelhof-Schöneberg,38.4,15.1,33.8,87.3
Rüdesheimer Platz,Charlottenburg-Wilmersdorf,42.4,23.2,21.6,87.2
Ziekowstraße/Freie Scholle,Reinickendorf,31.9,15.7,39.5,87.1
Spindlersfeld,Treptow-Köpenick,24.5,21.4,40.4,86.3
Baumschulenweg Ost,Treptow-Köpenick,19.6,24.0,41.9,85.5
Wittenau Nord,Reinickendorf,36.9,19.2,28.6,84.7
Baumschulenweg West,Treptow-Köpenick,19.4,23.1,41.7,84.2
Amorbacher Weg,Spandau,16.8,12.2,54.6,83.6
Bucher Forst,Pankow,15.3,10.7,57.2,83.2
Rohrdamm,Spandau,6.6,6.1,69.4,82.1
Hansaviertel,Mitte,17.0,19.6,44.8,81.4
Thielallee,Steglitz-Zehlendorf,44.5,32.7,2.4,79.6
Taunusstraße,Tempelhof-Schöneberg,36.2,24.9,18.3,79.4
Lichterfelde West,Steglitz-Zehlendorf,50.2,20.1,7.9,78.2
Tierpark,Lichtenberg,5.7,5.7,66.1,77.5
Königsberger Straße,Steglitz-Zehlendorf,26.9,20.7,29.7,77.3
Barnimkiez,Friedrichshain-Kreuzberg,5.9,10.1,60.7,76.7
Neu Westend,Charlottenburg-Wilmersdorf,29.7,24.2,22.3,76.2
Wilhelmsaue,Charlottenburg-Wilmersdorf,25.1,22.9,26.6,74.6
Hansastraße,Pankow,11.4,9.0,53.7,74.1
Wuhlheide,Treptow-Köpenick,3.1,4.8,64.2,72.1
Alt-Treptow,Treptow-Köpenick,10.3,9.2,50.4,69.9
Dörpfeldstraße Ost,Treptow-Köpenick,13.1,8.9,47.0,69.0
Wittelsbacherstraße,Tempelhof-Schöneberg,48.0,10.0,9.8,67.8
Immanuelkirchstraße,Pankow,16.1,29.9,20.7,66.7
Alt-Biesdorf,Marzahn-Hellersdorf,31.5,25.5,9.6,66.6
Blankenfelde,Pankow,29.2,28.4,8.9,66.5
Preußen Siedlung,Treptow-Köpenick,33.4,21.0,11.3,65.7
Hermsdorf Ost/Waldsee,Reinickendorf,34.5,20.5,10.5,65.5
Zehlendorf Mitte,Steglitz-Zehlendorf,24.4,16.4,24.2,65.0
Schlosspark,Pankow,20.8,16.2,27.1,64.1
Weißer See,Pankow,13.3,20.3,29.5,63.1
Alt-Tegel,Reinickendorf,16.4,12.7,33.9,63.0
Plänterwald Ost,Treptow-Köpenick,5.5,2.8,53.1,61.4
Orankesee,Lichtenberg,29.5,24.4,7.4,61.3
Komponistenviertel Lankwitz,Steglitz-Zehlendorf,23.2,16.1,21.4,60.7
Munsterdamm,Steglitz-Zehlendorf,7.4,10.5,42.3,60.2
Hindenburgdamm,Steglitz-Zehlendorf,9.6,14.2,36.3,60.1
Stadtpark,Steglitz-Zehlendorf,8.9,11.6,38.9,59.4
Teltower Damm,Steglitz-Zehlendorf,35.8,11.4,11.6,58.8
Botanischer Garten,Steglitz-Zehlendorf,21.4,17.7,19.0,58.1
Bismarckallee,Charlottenburg-Wilmersdorf,14.8,13.3,28.8,56.9
Alt-Heiligensee,Reinickendorf,20.1,26.9,9.2,56.2
Hakenfelde Nord,Spandau,2.2,0.9,51.1,54.2
Jägerallee,Spandau,32.8,19.0,2.0,53.8
Parkstraße,Pankow,12.7,11.1,26.9,50.7
Komponistenviertel Weißensee,Pankow,9.2,5.9,35.6,50.7
Fichtenberg,Steglitz-Zehlendorf,24.9,15.3,10.0,50.2
Hirschgarten,Treptow-Köpenick,7.2,10.3,31.5,49.0
Kietzer Feld/Nachtheide,Treptow-Köpenick,1.3,4.1,43.5,48.9
Johannisthal West,Treptow-Köpenick,6.8,7.9,33.6,48.3
Angerburger Allee,Charlottenburg-Wilmersdorf,4.4,4.2,37.6,46.2
Dahlem,Steglitz-Zehlendorf,25.3,14.4,5.0,44.7
Waldidyll/Flughafensee,Reinickendorf,3.7,3.3,34.5,41.5
Düppel,Steglitz-Zehlendorf,3.5,2.2,35.2,40.9
Wendenschloß,Treptow-Köpenick,9.4,29.7,1.8,40.9
Kafkastraße,Spandau,24.7,13.8,2.2,40.7
Fischerhüttenstraße,Steglitz-Zehlendorf,17.5,9.4,12.5,39.4
Börnicker Straße,Spandau,6.5,17.0,13.3,36.8
Kranzallee,Charlottenburg-Wilmersdorf,5.0,5.4,26.2,36.6
Waidmannslust,Reinickendorf,8.7,5.2,21.8,35.7
Hagenplatz,Charlottenburg-Wilmersdorf,12.9,8.7,12.4,34.0
Siedlung Kämmereiheide,Treptow-Köpenick,4.1,3.9,24.5,32.5
Hermsdorf West,Reinickendorf,13.8,6.5,10.3,30.6
Fischtal,Steglitz-Zehlendorf,10.7,7.6,12.2,30.5
Frohnau West,Reinickendorf,16.2,8.5,5.7,30.4
Döberitzer Weg,Spandau,10.5,7.7,11.1,29.3
Konradshöhe/Tegelort,Reinickendorf,12.5,12.5,4.2,29.2
Alt-Gatow,Spandau,8.3,6.6,12.7,27.6
Dammheide,Treptow-Köpenick,5.4,4.6,14.6,24.6
Schönholz,Pankow,8.5,7.2,8.5,24.2
Allende II,Treptow-Köpenick,0.2,1.5,21.0,22.7
Flatowallee,Charlottenburg-Wilmersdorf,7.0,7.4,6.1,20.5
Mittelheide,Treptow-Köpenick,3.0,1.8,14.8,19.6
Hundekehle,Charlottenburg-Wilmersdorf,1.1,0.4,17.7,19.2
Grünau,Treptow-Köpenick,2.6,2.6,13.7,18.9
Alt-Friedrichshagen,Treptow-Köpenick,2.0,2.4,14.0,18.4
Messelpark,Charlottenburg-Wilmersdorf,9.0,6.3,0.9,16.2
Großer Tiergarten,Mitte,5.2,5.0,5.4,15.6
Heiligensee Nord,Reinickendorf,3.9,2.0,9.0,14.9
Olympiagelände,Charlottenburg-Wilmersdorf,6.3,7.0,0.6,13.9
Rahnsdorf,Treptow-Köpenick,1.8,1.7,8.3,11.8
Nikolassee,Steglitz-Zehlendorf,1.5,3.1,7.2,11.8
Frohnau Ost,Reinickendorf,4.6,1.3,5.5,11.4
Wannsee,Steglitz-Zehlendorf,0.9,3.7,6.6,11.2
Schmöckwitz/Rauchfangswerder,Treptow-Köpenick,0.4,3.5,6.8,10.7
Heiligensee,Reinickendorf,0.7,0.2,9.4,10.3
Karolinenhof,Treptow-Köpenick,4.2,5.5,0.4,10.1
Müggelheim,Treptow-Köpenick,2.4,3.0,3.9,9.3
Hüttenweg,Steglitz-Zehlendorf,2.8,0.6,3.3,6.7
Krumme Lanke,Steglitz-Zehlendorf,1.7,0.7,2.6,5.0
Eichkamp,Charlottenburg-Wilmersdorf,0.6,1.1,0.7,2.4
