PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,rang_sozial,belastung_rang
Karl-August-Platz,Charlottenburg-Wilmersdorf,79.7,81.4,55.5,216.6
Havelländer Ring,Marzahn-Hellersdorf,69.2,73.6,73.8,216.6
Marienfelder Allee Nordwest,Tempelhof-Schöneberg,85.6,54.8,76.2,216.6
Behaimstraße,Pankow,90.6,77.7,48.2,216.5
Buckow West,Neukölln,95.6,74.2,46.3,216.1
Julius-Leber-Brücke,Tempelhof-Schöneberg,72.5,71.6,72.0,216.1
Goldhähnchenweg,Neukölln,77.9,67.2,70.1,215.2
Ringstraße,Tempelhof-Schöneberg,69.7,77.1,67.9,214.7
Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,58.9,94.3,60.9,214.1
Cecilienplatz,Marzahn-Hellersdorf,74.7,80.4,58.5,213.6
Brunnenstraße,Mitte,58.7,60.5,93.7,212.9
Kalckreuthstraße,Tempelhof-Schöneberg,67.2,56.5,88.0,211.7
Dorf Falkenberg,Lichtenberg,96.3,96.3,18.8,211.4
Germersheimer Platz,Spandau,72.0,54.2,84.9,211.1
Nisbléstraße,Pankow,98.9,88.6,22.9,210.4
Klixstraße,Reinickendorf,63.5,55.0,91.7,210.2
Sparrplatz,Mitte,63.1,58.1,87.8,209.0
Pankower Tor,Pankow,86.7,91.5,30.4,208.6
Am Heideberg,Spandau,97.8,85.8,24.9,208.5
Wittenbergplatz,Tempelhof-Schöneberg,73.4,65.9,69.2,208.5
Wittenberger Straße,Marzahn-Hellersdorf,57.4,70.7,80.3,208.4
Gontermannstraße,Tempelhof-Schöneberg,78.6,75.3,54.2,208.1
Adele-Sandrock-Straße,Marzahn-Hellersdorf,74.2,83.8,49.8,207.8
Weißenseer Spitze,Pankow,88.0,75.8,43.9,207.7
Alter Schlachthof,Pankow,100.0,99.6,8.1,207.7
Germaniagarten,Tempelhof-Schöneberg,48.5,65.3,93.2,207.0
Rollbergesiedlung,Reinickendorf,60.1,48.2,98.5,206.8
Reichenberger Straße West,Friedrichshain-Kreuzberg,60.3,62.0,83.4,205.7
Alt-Bohnsdorf,Treptow-Köpenick,96.7,93.2,15.7,205.6
Lea-Grundig-Straße,Marzahn-Hellersdorf,76.0,61.8,66.8,204.6
