PLR_NAME,BEZ_NAME,gruen_gvz,rang_gruen,esix_wert,rang_sozial
Dolgenseestraße,Lichtenberg,5.377,11.8,-0.187,61.6
Marienhöhe,Tempelhof-Schöneberg,3.368,34.5,-0.166,61.4
Mühlengrund,Lichtenberg,3.18,41.0,-0.155,61.3
Landsberger Allee,Lichtenberg,3.084,44.3,-0.153,61.1
Kaiserin-Augusta-Allee,Charlottenburg-Wilmersdorf,1.459,94.3,-0.151,60.9
Barnimkiez,Friedrichshain-Kreuzberg,5.875,10.1,-0.123,60.7
Borkumer Straße,Spandau,1.811,87.1,-0.095,60.5
Handwerker-Siedlung,Neukölln,3.635,28.6,-0.094,60.3
Buckow Mitte,Neukölln,2.095,79.0,-0.08,60.1
Alt-Lietzow,Charlottenburg-Wilmersdorf,2.856,51.8,-0.076,60.0
Andreasviertel,Friedrichshain-Kreuzberg,3.339,35.2,-0.073,59.8
Schöneberger Linse,Tempelhof-Schöneberg,0.573,99.4,-0.06,59.6
Hohenfriedbergstraße,Tempelhof-Schöneberg,1.695,89.9,-0.06,59.4
Cheruskerstraße,Tempelhof-Schöneberg,1.96,83.6,-0.06,59.2
Lankwitz Kirche,Steglitz-Zehlendorf,3.718,26.2,-0.043,59.0
Wittenau Mitte,Reinickendorf,5.597,10.9,-0.039,58.9
Wittenau Süd,Reinickendorf,3.504,31.5,-0.038,58.7
Cecilienplatz,Marzahn-Hellersdorf,2.071,80.4,-0.033,58.5
Vogelviertel Nord,Neukölln,1.951,84.3,-0.031,58.3
Babelsberger Straße,Charlottenburg-Wilmersdorf,3.392,33.8,-0.018,58.1
Velodrom,Pankow,1.659,91.0,-0.015,57.9
Friedrich-Karl-Straße,Tempelhof-Schöneberg,2.62,59.4,0.005,57.7
Bosepark,Tempelhof-Schöneberg,3.205,40.0,0.005,57.6
Wittekindstraße,Tempelhof-Schöneberg,2.448,66.2,0.005,57.4
Bucher Forst,Pankow,5.624,10.7,0.007,57.2
Malchower Weg,Lichtenberg,1.703,89.7,0.013,57.0
Mertensstraße,Spandau,1.735,89.3,0.022,56.8
Rathaus Weißensee,Pankow,2.133,76.9,0.027,56.6
Lüneburger Straße,Mitte,2.025,82.1,0.028,56.5
Viktoriapark,Friedrichshain-Kreuzberg,3.305,37.3,0.041,56.3
Borsigwalde,Reinickendorf,1.668,90.6,0.045,56.1
Barstraße,Charlottenburg-Wilmersdorf,3.371,34.1,0.049,55.9
Victoriastadt,Lichtenberg,1.674,90.0,0.054,55.7
Karl-August-Platz,Charlottenburg-Wilmersdorf,2.039,81.4,0.054,55.5
Brabanter Platz,Charlottenburg-Wilmersdorf,2.369,69.4,0.064,55.4
Zehlendorf Süd,Steglitz-Zehlendorf,3.513,31.2,0.067,55.2
Alt-Marzahn,Marzahn-Hellersdorf,1.977,83.2,0.07,55.0
Auersbergstraße,Marzahn-Hellersdorf,2.459,65.7,0.07,54.8
Amorbacher Weg,Spandau,5.234,12.2,0.075,54.6
Bärenstein,Marzahn-Hellersdorf,2.453,66.1,0.076,54.4
Gontermannstraße,Tempelhof-Schöneberg,2.204,75.3,0.076,54.2
Paradestraße,Tempelhof-Schöneberg,0.894,98.5,0.076,54.1
Karl-Marx-Allee,Mitte,2.937,48.0,0.087,53.9
Hansastraße,Pankow,6.113,9.0,0.087,53.7
Große-Leege-Straße,Lichtenberg,2.199,75.5,0.107,53.5
Kölner Viertel,Treptow-Köpenick,1.348,95.4,0.115,53.3
Plänterwald Ost,Treptow-Köpenick,10.842,2.8,0.116,53.1
Vogelviertel Süd,Neukölln,1.984,83.0,0.118,53.0
Kaiser-Wilhelm-Straße,Steglitz-Zehlendorf,3.674,27.3,0.124,52.8
Traveplatz,Friedrichshain-Kreuzberg,1.926,85.2,0.132,52.6
Bühringstraße,Pankow,4.07,22.0,0.133,52.4
Wismarplatz,Friedrichshain-Kreuzberg,3.131,42.8,0.133,52.2
Niederbarnimstraße,Friedrichshain-Kreuzberg,2.984,46.3,0.133,52.0
Spandauer Straße,Spandau,1.941,85.1,0.144,51.8
Zitadellenweg,Spandau,2.572,61.3,0.149,51.7
Barbarossaplatz,Tempelhof-Schöneberg,3.772,24.5,0.151,51.5
Maselake,Spandau,1.972,83.4,0.154,51.3
Hakenfelde Nord,Spandau,13.503,0.9,0.154,51.1
Alt-Rudow,Neukölln,1.758,89.1,0.159,50.9
Lichterfelde Süd,Steglitz-Zehlendorf,3.514,30.6,0.169,50.7
Alt-Lankwitz,Steglitz-Zehlendorf,3.658,27.9,0.185,50.6
Alt-Treptow,Treptow-Köpenick,6.072,9.2,0.191,50.4
Britzer Garten,Neukölln,4.099,21.2,0.194,50.2
Haveleck,Spandau,2.287,72.5,0.198,50.0
Adele-Sandrock-Straße,Marzahn-Hellersdorf,1.958,83.8,0.211,49.8
Frauenviertel,Neukölln,1.304,96.1,0.213,49.6
Droysenstraße,Charlottenburg-Wilmersdorf,2.743,54.4,0.216,49.4
An der Kappe,Spandau,1.957,83.9,0.216,49.3
Marienfelde Nordost,Tempelhof-Schöneberg,1.325,95.8,0.227,49.1
Bahnhof Schöneweide,Treptow-Köpenick,2.658,57.7,0.24,48.9
Fennpfuhlpark,Lichtenberg,3.487,31.9,0.244,48.7
Rudolf-Seiffert-Park,Lichtenberg,3.401,33.6,0.245,48.5
Storkower Bogen,Lichtenberg,2.78,53.3,0.245,48.3
Behaimstraße,Pankow,2.123,77.7,0.252,48.2
Hundsteinweg,Tempelhof-Schöneberg,3.307,36.9,0.255,48.0
Friedenstraße,Friedrichshain-Kreuzberg,3.916,23.4,0.264,47.8
Leon-Jessel-Platz,Charlottenburg-Wilmersdorf,2.422,67.3,0.264,47.6
Mohriner Allee Nord,Neukölln,1.953,84.1,0.279,47.4
Allende I,Treptow-Köpenick,2.703,55.7,0.28,47.2
Dörpfeldstraße Ost,Treptow-Köpenick,6.15,8.9,0.285,47.0
Dörpfeldstraße West,Treptow-Köpenick,2.382,68.8,0.286,46.9
Schloßstraße,Charlottenburg-Wilmersdorf,2.152,76.6,0.298,46.7
Teterower Ring,Marzahn-Hellersdorf,3.0,45.8,0.3,46.5
Buckow West,Neukölln,2.231,74.2,0.304,46.3
Massower Straße,Lichtenberg,2.769,53.9,0.313,46.1
Nöldnerplatz,Lichtenberg,2.893,49.6,0.313,45.9
Weitlingkiez,Lichtenberg,3.258,38.4,0.314,45.8
Zachertstraße,Lichtenberg,3.62,29.0,0.314,45.6
Marzahner Chaussee,Marzahn-Hellersdorf,1.773,88.7,0.315,45.4
Eisenzahnstraße,Charlottenburg-Wilmersdorf,2.187,76.0,0.315,45.2
Königin-Elisabeth-Straße,Charlottenburg-Wilmersdorf,1.443,94.6,0.316,45.0
Hansaviertel,Mitte,4.189,19.6,0.317,44.8
Ostseestraße,Pankow,2.307,71.4,0.321,44.6
Stralauer Kiez,Friedrichshain-Kreuzberg,1.065,97.8,0.325,44.5
Waltersdorfer Chaussee Ost,Neukölln,2.295,71.8,0.327,44.3
Thomasiusstraße,Mitte,2.881,50.6,0.332,44.1
Weißenseer Spitze,Pankow,2.191,75.8,0.336,43.9
Lietzensee,Charlottenburg-Wilmersdorf,3.499,31.7,0.337,43.7
Kietzer Feld/Nachtheide,Treptow-Köpenick,9.297,4.1,0.341,43.5
Hausburgviertel,Friedrichshain-Kreuzberg,1.852,86.2,0.343,43.4
Karow Nord,Pankow,1.39,95.0,0.353,43.2
Anton-Saefkow-Park,Pankow,3.315,36.7,0.353,43.0
Forckenbeckplatz,Friedrichshain-Kreuzberg,2.49,64.2,0.356,42.8
Pettenkofer Straße,Friedrichshain-Kreuzberg,1.52,93.0,0.357,42.6
Samariterviertel,Friedrichshain-Kreuzberg,1.241,96.9,0.357,42.4
Munsterdamm,Steglitz-Zehlendorf,5.659,10.5,0.358,42.3
Landsberger Tor,Marzahn-Hellersdorf,3.429,32.8,0.365,42.1
Baumschulenweg Ost,Treptow-Köpenick,3.877,24.0,0.367,41.9
Baumschulenweg West,Treptow-Köpenick,3.95,23.1,0.367,41.7
Stülerstraße,Mitte,2.232,74.0,0.372,41.5
Herzbergstraße,Lichtenberg,3.725,25.8,0.372,41.3
Rathaus Lichtenberg,Lichtenberg,3.322,36.5,0.372,41.1
Roedeliusplatz,Lichtenberg,2.09,79.9,0.372,41.0
Nibelungenviertel,Lichtenberg,2.95,47.2,0.372,40.8
Bornitzstraße,Lichtenberg,1.446,94.5,0.372,40.6
Spindlersfeld,Treptow-Köpenick,4.095,21.4,0.387,40.4
Schaperstraße,Charlottenburg-Wilmersdorf,3.642,28.2,0.388,40.2
Bergstraße,Steglitz-Zehlendorf,2.684,56.8,0.39,40.0
Töpchiner Weg,Tempelhof-Schöneberg,1.784,88.2,0.393,39.9
Mittelstraße,Steglitz-Zehlendorf,4.232,19.4,0.399,39.7
Ziekowstraße/Freie Scholle,Reinickendorf,4.592,15.7,0.4,39.5
Alexanderplatzviertel,Mitte,1.076,97.6,0.403,39.3
Prager Platz,Charlottenburg-Wilmersdorf,3.328,36.3,0.403,39.1
Stadtpark,Steglitz-Zehlendorf,5.397,11.6,0.406,38.9
Senefelderstraße,Pankow,1.634,91.3,0.417,38.7
Helmholtzplatz,Pankow,2.291,72.1,0.418,38.6
Gethsemanekirche,Pankow,1.666,90.8,0.418,38.4
Elberfelder Straße,Mitte,2.936,48.5,0.419,38.2
Lübarser Straße,Reinickendorf,2.212,75.1,0.423,38.0
Hindemithplatz,Charlottenburg-Wilmersdorf,2.927,48.7,0.436,37.8
Angerburger Allee,Charlottenburg-Wilmersdorf,9.21,4.2,0.438,37.6
Bayerischer Platz,Tempelhof-Schöneberg,2.807,52.6,0.45,37.5
Rummelsburg,Lichtenberg,1.134,97.4,0.456,37.3
Weinmeisterhornweg,Spandau,2.861,51.7,0.459,37.1
Schorfheidestraße,Reinickendorf,1.846,86.3,0.461,36.9
Breitscheidplatz,Charlottenburg-Wilmersdorf,1.379,95.2,0.463,36.7
Feuerbachstraße,Steglitz-Zehlendorf,3.109,43.7,0.464,36.5
Hindenburgdamm,Steglitz-Zehlendorf,4.953,14.2,0.465,36.3
Bismarckstraße,Steglitz-Zehlendorf,3.333,36.2,0.483,36.2
Ludwigkirchplatz,Charlottenburg-Wilmersdorf,2.986,46.1,0.485,36.0
Südende,Steglitz-Zehlendorf,3.755,25.3,0.498,35.8
Komponistenviertel Weißensee,Pankow,7.403,5.9,0.501,35.6
Leipziger Straße,Mitte,1.049,98.0,0.505,35.4
Düppel,Steglitz-Zehlendorf,11.782,2.2,0.513,35.2
Halensee,Charlottenburg-Wilmersdorf,3.144,42.4,0.513,35.1
Hochmeisterplatz,Charlottenburg-Wilmersdorf,2.374,69.0,0.513,34.9
Binger Straße,Charlottenburg-Wilmersdorf,3.507,31.4,0.517,34.7
Waldidyll/Flughafensee,Reinickendorf,10.45,3.3,0.521,34.5
TXL,Reinickendorf,1.817,86.7,0.522,34.3
Wilhelmstraße,Mitte,0.723,98.9,0.527,34.1
Alt-Tegel,Reinickendorf,5.114,12.7,0.539,33.9
Horstwalder Straße,Tempelhof-Schöneberg,4.696,15.1,0.539,33.8
Johannisthal West,Treptow-Köpenick,6.624,7.9,0.545,33.6
Richard-Sorge-Viertel,Friedrichshain-Kreuzberg,2.642,59.0,0.558,33.4
Staakener Straße,Spandau,1.488,93.5,0.558,33.2
Norweger Viertel,Pankow,2.349,70.3,0.56,33.0
Malmöer Straße,Pankow,1.228,97.0,0.56,32.8
Arnimplatz,Pankow,2.471,64.9,0.561,32.7
Flinsberger Platz,Charlottenburg-Wilmersdorf,3.693,26.4,0.566,32.5
George-Grosz-Platz,Charlottenburg-Wilmersdorf,2.095,79.2,0.567,32.3
Preußenpark,Charlottenburg-Wilmersdorf,3.269,38.2,0.571,32.1
Nikolsburger Platz,Charlottenburg-Wilmersdorf,2.703,56.1,0.572,31.9
Amtsgerichtsplatz,Charlottenburg-Wilmersdorf,2.407,67.5,0.583,31.7
Hirschgarten,Treptow-Köpenick,5.84,10.3,0.599,31.5
Tiroler Viertel,Pankow,3.125,43.0,0.614,31.4
Trelleborger Viertel,Pankow,3.227,39.1,0.614,31.2
Spiekermann Straße,Pankow,2.646,58.7,0.614,31.0
Arnold-Zweig-Straße,Pankow,2.446,66.4,0.614,30.8
Kissingenviertel,Pankow,3.222,39.5,0.614,30.6
Pankower Tor,Pankow,1.634,91.5,0.614,30.4
Johannisthal Ost,Treptow-Köpenick,2.536,63.1,0.616,30.3
Landschaftspark Adlershof,Treptow-Köpenick,1.043,98.2,0.618,30.1
Revaler Straße,Friedrichshain-Kreuzberg,2.576,61.1,0.618,29.9
Königsberger Straße,Steglitz-Zehlendorf,4.119,20.7,0.619,29.7
Weißer See,Pankow,4.174,20.3,0.621,29.5
Weberwiese,Friedrichshain-Kreuzberg,3.687,26.8,0.622,29.3
Oberspree,Treptow-Köpenick,3.153,42.3,0.623,29.2
Boxhagener Platz,Friedrichshain-Kreuzberg,2.681,57.0,0.625,29.0
Bismarckallee,Charlottenburg-Wilmersdorf,5.046,13.3,0.629,28.8
Wittenau Nord,Reinickendorf,4.255,19.2,0.632,28.6
Savignyplatz,Charlottenburg-Wilmersdorf,2.192,75.6,0.642,28.4
Bahnhofstraße,Treptow-Köpenick,2.407,67.7,0.653,28.2
