PLR_NAME,BEZ_NAME,gruen_gvz,rang_gruen,esix_wert,rang_sozial
Kaulsdorf Nord,Marzahn-Hellersdorf,2.103,78.2,1.085,11.8
Teltower Damm,Steglitz-Zehlendorf,5.456,11.4,1.086,11.6
Karlshorst Nord,Lichtenberg,2.947,47.8,1.087,11.4
Preußen Siedlung,Treptow-Köpenick,4.1,21.0,1.102,11.3
Döberitzer Weg,Spandau,6.663,7.7,1.104,11.1
Dorf Altglienicke,Treptow-Köpenick,2.026,81.7,1.109,10.9
Stralauer Halbinsel,Friedrichshain-Kreuzberg,1.42,94.8,1.126,10.7
Hermsdorf Ost/Waldsee,Reinickendorf,4.156,20.5,1.128,10.5
Hermsdorf West,Reinickendorf,7.26,6.5,1.128,10.3
Schweizer Viertel,Steglitz-Zehlendorf,3.112,43.5,1.133,10.1
Fichtenberg,Steglitz-Zehlendorf,4.673,15.3,1.134,10.0
Wittelsbacherstraße,Tempelhof-Schöneberg,5.921,10.0,1.138,9.8
Alt-Biesdorf,Marzahn-Hellersdorf,3.737,25.5,1.141,9.6
Heiligensee,Reinickendorf,14.311,0.2,1.144,9.4
Alt-Heiligensee,Reinickendorf,3.68,26.9,1.144,9.2
Heiligensee Nord,Reinickendorf,11.834,2.0,1.144,9.0
Blankenfelde,Pankow,3.639,28.4,1.152,8.9
Lübars,Reinickendorf,2.523,63.5,1.164,8.7
Schönholz,Pankow,6.994,7.2,1.166,8.5
Rahnsdorf,Treptow-Köpenick,12.001,1.7,1.172,8.3
Alter Schlachthof,Pankow,0.54,99.6,1.181,8.1
Lichterfelde West,Steglitz-Zehlendorf,4.176,20.1,1.184,7.9
Charitéviertel,Mitte,1.207,97.2,1.186,7.7
Mahlsdorf Nord,Marzahn-Hellersdorf,1.772,88.9,1.187,7.6
Orankesee,Lichtenberg,3.782,24.4,1.2,7.4
Nikolassee,Steglitz-Zehlendorf,10.522,3.1,1.212,7.2
An der Tränke,Spandau,2.56,62.2,1.216,7.0
Schmöckwitz/Rauchfangswerder,Treptow-Köpenick,10.329,3.5,1.216,6.8
Wannsee,Steglitz-Zehlendorf,10.203,3.7,1.218,6.6
Späthsfelde,Treptow-Köpenick,1.604,91.9,1.219,6.5
Wista,Treptow-Köpenick,0.993,98.3,1.226,6.3
Flatowallee,Charlottenburg-Wilmersdorf,6.707,7.4,1.232,6.1
Alt-Mahlsdorf,Marzahn-Hellersdorf,2.062,81.0,1.239,5.9
Frohnau West,Reinickendorf,6.381,8.5,1.241,5.7
Frohnau Ost,Reinickendorf,12.565,1.3,1.241,5.5
