PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Augustaplatz,Steglitz-Zehlendorf,52.8,23.8,76.6,19.9
Schulstraße,Mitte,33.8,42.6,76.4,97.6
Siemensdamm,Spandau,47.6,28.8,76.4,69.6
Bürgerpark,Marzahn-Hellersdorf,30.1,45.9,76.0,66.6
Tirschenreuther Ring Ost,Tempelhof-Schöneberg,39.9,35.6,75.5,74.4
Anton-Saefkow-Park,Pankow,38.7,36.7,75.4,43.0
Lankwitz Kirche,Steglitz-Zehlendorf,49.1,26.2,75.3,59.0
Golliner Straße,Marzahn-Hellersdorf,26.8,47.6,74.4,79.9
Gartenfeld,Spandau,15.5,58.5,74.0,69.0
Fürstenplatz,Charlottenburg-Wilmersdorf,44.6,29.3,73.9,22.1
Zachertstraße,Lichtenberg,44.8,29.0,73.8,45.6
Weichselplatz,Neukölln,30.3,43.2,73.5,77.9
Mühlengrund,Lichtenberg,32.3,41.0,73.3,61.3
Rathaus Lichtenberg,Lichtenberg,36.5,36.5,73.0,41.1
Im Spektefeld,Spandau,21.6,51.1,72.7,86.3
Elberfelder Straße,Mitte,24.2,48.5,72.7,38.2
Wolfshagener Straße,Pankow,32.7,38.7,71.4,26.8
Binger Straße,Charlottenburg-Wilmersdorf,39.5,31.4,70.9,34.7
Andreasviertel,Friedrichshain-Kreuzberg,35.2,35.2,70.4,59.8
Lichterfelde West,Steglitz-Zehlendorf,50.2,20.1,70.3,7.9
Wilhelmstadt Ost,Spandau,28.6,41.5,70.1,75.5
Herzbergstraße,Lichtenberg,44.3,25.8,70.1,41.3
Alt-Lankwitz,Steglitz-Zehlendorf,41.5,27.9,69.4,50.6
Lichterfelde Süd,Steglitz-Zehlendorf,38.6,30.6,69.2,50.7
Babelsberger Straße,Charlottenburg-Wilmersdorf,35.1,33.8,68.9,58.1
Hellersdorfer Promenade,Marzahn-Hellersdorf,28.0,40.4,68.4,89.3
Zingster Straße West,Lichtenberg,27.7,40.6,68.3,85.4
Güterbahnhof Köpenick,Treptow-Köpenick,30.4,37.6,68.0,27.9
Weberwiese,Friedrichshain-Kreuzberg,41.1,26.8,67.9,29.3
Flinsberger Platz,Charlottenburg-Wilmersdorf,41.3,26.4,67.7,32.5
Schaperstraße,Charlottenburg-Wilmersdorf,38.9,28.2,67.1,40.2
Rüdesheimer Platz,Charlottenburg-Wilmersdorf,42.4,23.2,65.6,21.6
Chamissokiez,Friedrichshain-Kreuzberg,20.5,44.8,65.3,62.7
Buckower Ring,Marzahn-Hellersdorf,40.2,24.7,64.9,68.8
Friedrichshagener Straße,Treptow-Köpenick,18.3,46.5,64.8,28.0
Gensinger Straße,Lichtenberg,24.0,40.8,64.8,70.7
Rudolf-Seiffert-Park,Lichtenberg,31.0,33.6,64.6,48.5
Bismarckstraße,Steglitz-Zehlendorf,27.3,36.2,63.5,36.2
Viktoriapark,Friedrichshain-Kreuzberg,25.5,37.3,62.8,56.3
Marienhöhe,Tempelhof-Schöneberg,28.2,34.5,62.7,61.4
Bühringstraße,Pankow,40.4,22.0,62.4,52.4
